Country,Happiness Score,Standard Error,Whisker-high,Whisker-low,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Year,Happiness Rank,Region
Slovakia,6469,0.056,6.578,6.36,1.731,1.544,0.472,0.494,0.128,0.022,2.078,2023,29,Central and Eastern Europe
Saudi Arabia,6463,0.061,6.581,6.344,1.861,1.37,0.351,0.682,0.093,0.17,1.936,2023,30,Middle East and North Africa
Estonia,6455,0.04,6.534,6.377,1.798,1.526,0.494,0.728,0.153,0.372,1.383,2023,31,Central and Eastern Europe
Spain,6436,0.042,6.519,6.354,1.798,1.491,0.567,0.533,0.101,0.157,1.789,2023,32,Western Europe
Italy,6405,0.054,6.511,6.298,1.832,1.365,0.559,0.438,0.097,0.063,2.052,2023,33,Western Europe
Kosovo,6368,0.06,6.485,6.25,1.374,1.269,0.372,0.639,0.275,0.045,2.393,2023,34,Central and Eastern Europe
Chile,6334,0.046,6.424,6.243,1.645,1.384,0.511,0.546,0.131,0.076,2.04,2023,35,Latin America and Caribbean
Mexico,6330,0.057,6.441,6.218,1.55,1.169,0.389,0.632,0.086,0.115,2.389,2023,36,Latin America and Caribbean
Malta,6300,0.045,6.388,6.212,1.841,1.468,0.547,0.671,0.2,0.143,1.429,2023,37,Western Europe
Panama,6265,0.081,6.424,6.105,1.714,1.402,0.475,0.63,0.065,0.036,1.943,2023,38,Latin America and Caribbean
Poland,6260,0.042,6.343,6.177,1.767,1.474,0.477,0.511,0.12,0.139,1.772,2023,39,Central and Eastern Europe
Nicaragua,6259,0.076,6.408,6.109,1.109,1.292,0.385,0.66,0.148,0.218,2.448,2023,40,Latin America and Caribbean
Latvia,6213,0.042,6.295,6.131,1.737,1.505,0.405,0.58,0.107,0.071,1.808,2023,41,Central and Eastern Europe
Bahrain,6173,0.1,6.369,5.977,1.883,1.269,0.389,0.748,0.199,0.138,1.546,2023,42,Middle East and North Africa
Guatemala,6150,0.108,6.362,5.939,1.287,1.188,0.31,0.631,0.106,0.066,2.562,2023,43,Latin America and Caribbean
Kazakhstan,6144,0.048,6.239,6.049,1.664,1.491,0.389,0.628,0.136,0.149,1.688,2023,44,Commonwealth of Independent States
Serbia,6144,0.079,6.299,5.988,1.552,1.343,0.424,0.617,0.246,0.081,1.881,2023,45,Central and Eastern Europe
Cyprus,6130,0.054,6.236,6.024,1.824,1.224,0.58,0.455,0.104,0.05,1.893,2023,46,Western Europe
Japan,6129,0.042,6.211,6.047,1.825,1.396,0.622,0.556,0.009,0.207,1.513,2023,47,East Asia
Croatia,6125,0.057,6.237,6.013,1.727,1.455,0.475,0.5,0.087,0.003,1.88,2023,48,Central and Eastern Europe
Brazil,6125,0.065,6.252,5.997,1.454,1.25,0.387,0.558,0.131,0.137,2.205,2023,49,Latin America and Caribbean
El Salvador,6122,0.069,6.257,5.986,1.278,1.044,0.383,0.713,0.079,0.222,2.403,2023,50,Latin America and Caribbean
Hungary,6041,0.055,6.149,5.933,1.754,1.519,0.435,0.501,0.105,0.065,1.663,2023,51,Central and Eastern Europe
Argentina,6024,0.063,6.147,5.9,1.59,1.388,0.427,0.587,0.088,0.082,1.861,2023,52,Latin America and Caribbean
Honduras,6023,0.089,6.196,5.849,1.115,1.072,0.341,0.613,0.189,0.062,2.631,2023,53,Latin America and Caribbean
Uzbekistan,6014,0.059,6.13,5.899,1.227,1.347,0.375,0.74,0.26,0.208,1.856,2023,54,Commonwealth of Independent States
Malaysia,6012,0.079,6.167,5.858,1.665,1.155,0.385,0.659,0.222,0.122,1.804,2023,55,Southeast Asia
Portugal,5968,0.055,6.076,5.86,1.758,1.356,0.537,0.693,0.031,0.037,1.556,2023,56,Western Europe
South Korea,5951,0.045,6.04,5.862,1.853,1.188,0.603,0.446,0.112,0.163,1.587,2023,57,East Asia
Greece,5931,0.048,6.024,5.838,1.708,1.247,0.535,0.248,0.008,0.097,2.089,2023,58,Western Europe
Mauritius,5902,0.057,6.013,5.791,1.589,1.382,0.336,0.574,0.121,0.11,1.79,2023,59,Sub-Saharan Africa
Thailand,5843,0.064,5.969,5.717,1.515,1.344,0.461,0.624,0.291,0.013,1.594,2023,60,Southeast Asia
Mongolia,5840,0.046,5.93,5.75,1.379,1.494,0.244,0.425,0.239,0.058,2.001,2023,61,East Asia
Kyrgyzstan,5825,0.045,5.913,5.737,1.061,1.439,0.417,0.735,0.234,0.018,1.92,2023,62,Commonwealth of Independent States
Moldova,5819,0.052,5.922,5.717,1.425,1.302,0.375,0.61,0.093,0.02,1.995,2023,63,Commonwealth of Independent States
China,5818,0.044,5.905,5.731,1.51,1.249,0.468,0.666,0.115,0.145,1.666,2023,64,East Asia
Vietnam,5763,0.052,5.865,5.662,1.349,1.212,0.381,0.741,0.134,0.122,1.824,2023,65,Southeast Asia
Paraguay,5738,0.058,5.851,5.625,1.428,1.427,0.392,0.678,0.148,0.062,1.604,2023,66,Latin America and Caribbean
Montenegro,5722,0.112,5.941,5.503,1.537,1.385,0.424,0.563,0.17,0.061,1.581,2023,67,Central and Eastern Europe
Jamaica,5703,0.089,5.876,5.529,1.305,1.329,0.411,0.587,0.079,0.039,1.954,2023,68,Latin America and Caribbean
Bolivia,5684,0.057,5.797,5.572,1.24,1.187,0.329,0.648,0.103,0.06,2.118,2023,69,Latin America and Caribbean
Russia,5661,0.037,5.734,5.588,1.68,1.383,0.366,0.449,0.12,0.091,1.572,2023,70,Commonwealth of Independent States
Bosnia and Herzegovina,5633,0.073,5.775,5.49,1.467,1.361,0.429,0.485,0.247,0.008,1.635,2023,71,Central and Eastern Europe
Colombia,5630,0.06,5.747,5.514,1.455,1.213,0.486,0.562,0.08,0.068,1.765,2023,72,Latin America and Caribbean
Dominican Republic,5569,0.073,5.712,5.426,1.536,1.227,0.351,0.623,0.083,0.195,1.553,2023,73,Latin America and Caribbean
Ecuador,5559,0.063,5.682,5.436,1.343,1.173,0.476,0.56,0.079,0.069,1.86,2023,74,Latin America and Caribbean
Peru,5526,0.058,5.64,5.412,1.39,1.153,0.499,0.549,0.073,0.027,1.835,2023,75,Latin America and Caribbean
Philippines,5523,0.077,5.675,5.371,1.238,1.108,0.286,0.714,0.104,0.141,1.931,2023,76,Southeast Asia
Bulgaria,5466,0.059,5.582,5.35,1.635,1.457,0.408,0.557,0.106,0.013,1.289,2023,77,Central and Eastern Europe
Nepal,5360,0.075,5.507,5.214,0.979,1.027,0.281,0.567,0.215,0.104,2.187,2023,78,South Asia
Armenia,5342,0.066,5.47,5.213,1.466,1.134,0.443,0.551,0.053,0.16,1.534,2023,79,Commonwealth of Independent States
Tajikistan,5330,0.062,5.452,5.207,0.972,1.248,0.291,0.599,0.104,0.292,1.823,2023,80,Commonwealth of Independent States
Algeria,5329,0.062,5.451,5.207,1.353,1.298,0.409,0.252,0.073,0.152,1.791,2023,81,Middle East and North Africa
Hong Kong S.A.R. of China,5308,0.048,5.403,5.214,1.951,1.201,0.702,0.407,0.123,0.39,0.535,2023,82,East Asia
Albania,5277,0.066,5.406,5.148,1.449,0.951,0.48,0.549,0.133,0.037,1.678,2023,83,Central and Eastern Europe
Indonesia,5277,0.059,5.392,5.161,1.384,1.169,0.314,0.663,0.422,0.038,1.288,2023,84,Southeast Asia
